债券代码,发行人,是否违约,违约、展期日期,是否有担保,企业性质,是否上市公司,所属行业（Wind),主营业务收入（百万元）,毛利率,净利率,ROE,ROA,主营业务比率,ROIC,EBITDA/营业总收入,经营活动净收益/利润总额,销售商品提供劳务收到的现金/营业收入,经营活动产生的现金流量净额/营业收入,净利润现金含量,资产负债率,长期资本负债率,流动资产/总资产,流动负债/负债合计,流动比率,速动比率,现金比率,现金到期债务比,现金流量利息保障倍数,息税折旧摊销前利润/负债,经营活动产生的现金流量净额/带息债务,经营活动产生的现金流量净额/净债务,非筹资性现金净流量与负债总额的比率,已获利息倍数(EBIT/利息费用),长期债务与营运资金比率,长期负债占比,EBITDA/带息债务,EBITDA/利息费用,货币资金/短期债务,营业周期,存货周转率,应收账款周转率,应付账款周转率,现金周转率,营业利润(同比增长率),营业收入(同比增长率),净资产(同比增长率),总负债(同比增长率),现金净流量(同比增长率),货币资金增长率,Z值,审计意见类别,大股东持股比例,实际控制人属性,估价收益率(%)(中债),估价凸性(中债),最新未使用授信额度,对外担保余额,所属省市,注册资本,有息负债,短期借款,长期借款,应付债券,取得借款流入的现金,一年内到期的非流动负债
092280065.IB,中国工商银行股份有限公司,0,2022/8/23,0,中央国有企业,1,多元化银行,942762,0,37.1479,11.3258,0,99.68580769,0,0,68.3007,0,38.28,103.6011001,90.6877,0,0,0,0,0,0,0,0,0,0.011804554,0,-0.983423535,0,0,2.481100761,0,0,0,0,0,0,0,58.41371377,8.2227,6.8086,12.58865555,4.798935245,-204.0081125,0,0,标准无保留意见,34.70999908,0,0,0,0,0,北京市,3564.062571,305714.23,0,0,791375,0,0
102281880.IB,吉林省高速公路集团有限公司,0,2022/8/23,0,地方国有企业,0,公路与铁路,7137.955115,52.4143,25.1364,1.4394,3.5181,98.83298376,0.568,151.9095915,-271.5037,112.51,141.1,613.9525326,60.7797,59.53042592,19.3068,6.8681,4.625,4.6012,0.668851538,132.3462093,1.178978669,0.0607,0.058419369,0.0614,1.207585185,1.2262,3.7407,93.11435753,0.063502979,1.299665822,1.087804727,57.1552,10.7696,15.1721,3.412660728,80.70673584,42.9102,49.4024,0.398891598,3.278665472,2.140137642,-12.0987796,0.800088877,标准无保留意见,100,地方政府,0,0,1617.19,0,长春市,27,1724.018864,0,133794.2537,31000,181.1767055,76.06961783
012282944.IB,株洲高科集团有限公司,0,2022/8/23,0,地方国有企业,0,建筑与工程,5996.620294,22.1201,9.4076,1.7801,1.0052,101.7575888,0.7362,17.47760728,62.7874,103.01,66.86,672.2997297,59.6278,50.6822965,68.7756,36.118,3.1935,0.4476,0.150996136,29.24758017,11.52730072,0.0197,0.08928267,0.0948,6.245468114,2.9463,0.8064,63.23144353,0.023338733,3.367108271,0.190947951,4189.4409,0.0889,2.5724,3.055761608,212.3795798,-29.0349,-28.4741,-1.050230806,-0.952370926,-42.17994854,-47.37594909,1.194972391,标准无保留意见,90,地方国资委,0,0,126.38295,267320,株洲市,20,449.0671194,1299.59,11016.36,20294.89886,157.10825,122.9521566
102281875.IB,江西赣粤高速公路股份有限公司,0,2022/8/23,0,地方国有企业,1,公路与铁路,6429.549627,38.9474,15.4919,5.5434,5.3298,88.67898095,3.1998,47.23478663,109.3265,117,52.59,379.0095612,48.2911,39.63864507,25.3812,36.8248,1.4273,0.9687,0.608038348,278.2759081,6.135541379,0.1794,0.346827923,0.4852,15.84759171,3.7105,4.0152,59.28795207,0.311521307,6.004088624,2.288415483,319.8196,1.2602,10.5415,2.490755395,244.3707503,116.3372,26.916,2.469591076,-3.890348999,-35.17067944,11.40272617,1.218758998,标准无保留意见,47.52000046,地方政府,0,0,331.34,0,南昌市,23.35407014,97.48880666,0,185.316,6784.416237,0.9525,12.15047344
102200198.IB,北京北辰实业股份有限公司,0,2022/8/23,0,地方国有企业,1,房地产开发,22094.29625,20.5257,0.4488,1.2469,1.3435,99.33847335,0.3987,5.807901268,50.0672,80.43,31.4,3423.452699,75.7739,58.9229032,81.8499,63.2874,1.7068,0.5105,0.385130635,59.64984282,3.704072395,0.0212,0.220111392,0.413,8.046925225,0.6433,0.8207,36.46452317,0.040710746,2.329462599,1.265631824,1049.1215,0.3437,212.209,2.378973777,185.7444674,-51.8827,22.7735,-9.336423689,-9.47138237,325.2335993,12.842078,0.941242957,标准无保留意见,34.48199844,地方国资委,0,0,65.00108,1390100,北京市,33.6702,315.2029998,0,16178.11541,3696.467025,115.8664284,116.3117418
032280744.IB,黄石市城市建设投资开发有限责任公司,0,2022/8/23,1,地方国有企业,0,综合类行业,3066.515466,32.4321,22.0455,2.039,0.9817,99.7417323,1.0644,34.05024316,77.5166,80.12,-5.15,-23.2775062,58.8055,42.72936568,51.2627,47.7213,1.8267,0.8585,0.233850532,-1.528817356,-4.219316548,0.0217,-0.005258874,-0.0064,0.467723338,31.5346,1.3251,51.95712559,0.03477584,41.63147665,0.51984933,4566.5905,0.0978,0.4065,10.13608306,59.55617369,14.992,10.1155,2.508185962,3.474004004,-168.3703176,-9.283947446,0.903813124,标准无保留意见,99.94999695,地方国资委,0,0,75.82,282600,黄石市,12.0064,300.2532675,1408.896,5814.773329,14019.30754,26.05236948,87.82349881
042280378.IB,南京高淳国有资产经营控股集团有限公司,0,2022/8/23,0,地方国有企业,0,综合支持服务,1172.008017,9.7455,13.0411,0.8488,0.4056,122.7637541,0.3163,21.94548469,-133.8388,75.76,-664.09,-4755.434098,63.6037,55.3183065,95.7975,33.0508,4.5571,1.9427,0.504284239,-107.446011,-70.25628859,0.0067,-0.262261181,-0.3321,-20.76184647,3.3287,0.5695,63.987058,0.008666649,3.935870914,0.861214969,10481.942,0.0359,0.7928,4.925478427,26.90756129,-6.6091,0.3767,17.70944282,39.19368086,335.8237695,87.30974482,1.399758626,标准无保留意见,100,地方政府,0,0,138.37,831256.48,南京市,35.7,296.7731024,1856.956416,12262.18036,11111.29982,181.6577489,44.4687364
012282941.IB,日照市城市建设投资集团有限公司,0,2022/8/23,1,地方国有企业,0,建筑与工程,2457.934071,33.2306,4.4061,2.2195,2.4186,100.1138082,0.7686,22.22523395,86.2111,82.48,10.34,242.8145524,72.9734,55.7335129,59.3796,53.8858,1.5101,1.0053,0.162465821,5.662035055,0.91137582,0.0416,0.029042621,0.0334,-0.776871315,1.62,1.6778,46.11421996,0.06242923,2.107343002,0.2555223,1274.5167,0.4817,0.6829,3.749752791,313.3437925,110.2968,-21.8478,6.038167355,8.47158986,-34.74207592,-21.59159179,0.735864092,标准无保留意见,90,地方国资委,0,0,10.06,242100,日照市,5,87.50413894,1732.957984,460.7631935,3944.33525,39.08112444,26.12357467
102281877.IB,信阳华信投资集团有限责任公司,0,2022/8/23,1,地方国有企业,0,综合类行业,1108.959839,19.5868,11.1588,0.7748,0.6545,-139.0446127,0.5017,40.86844447,-127.0811,68.7,30.43,268.9283284,53.3763,31.29435131,48.6953,60.5824,1.5059,1.2141,0.082432152,7.86399002,0.491892945,0.0252,0.035538802,0.0393,-0.760130262,1.86,1.2862,36.00322176,0.047728252,3.810525411,0.209656584,1550.8049,0.3152,0.8809,5.774145397,146.8899668,54.6211,58.3636,-7.197955146,8.100911808,95.05096815,14.20795884,0.85407941,标准无保留意见,100,地方政府,0,0,86.183154,142240.18,信阳市,50,94.95730888,820.9881515,2421.396175,2787.611197,57.74802846,32.43305497
032280743.IB,黄冈新区投资开发有限公司,0,2022/8/23,1,地方国有企业,0,建筑与工程,621.8228627,21.3958,23.6415,3.3472,1.9241,109.92059,1.851,30.21121365,35.437,128.23,17.37,72.96522877,53.0092,34.51834298,96.207,53.2934,3.4055,0.8371,0.147278021,8.173475255,11.16303844,0.035,0.033304414,0.0383,1.997394584,22.5167,0.3643,46.70658283,0.057915008,23.15532326,0.318538222,5316.0468,0.0711,1.4243,3.152317605,239.4174105,80.8739,11.8584,16.09088157,12.39332963,277.92036,198.3415784,1.596958079,标准无保留意见,0,地方国资委,0,0,4.837405,19594,黄冈市,15.064285,32.43722839,258.5386,1941.27445,0,14.152286,10.43909789
042280377.IB,成都市金牛环境投资发展集团有限公司,0,2022/8/23,0,地方国有企业,0,复合型公用事业,1356.753156,13.1043,17.9946,1.7482,0.9693,99.79223913,0.8224,26.67258509,31.0782,79.22,-112.34,-638.7747468,55.9473,49.39213014,83.0517,23.2198,6.3931,2.332,0.623943968,-65.69382125,-76.54908255,0.021,-0.098571292,-0.1175,-12.37256783,40.34,0.6131,75.4237932,0.023403159,51.00780896,1.074533058,5382.9576,0.0738,0.713,20.68979978,52.28345882,29.0559,47.5149,-1.527462957,18.43021295,-146.2565917,-30.68802538,1.446461158,标准无保留意见,100,地方国资委,0,0,20.284073,430000,成都市,9.1,154.6291875,338,6429.011875,6550,56.23,19.82157134
2280375.IB,成都天府水城城乡水务建设有限公司,0,2022/8/23,0,地方国有企业,0,水务,1046.14647,14.9687,7.191,0.3261,0.3422,107.4711326,0.2003,25.25608987,5.7778,113.33,12.9,179.3575786,36.3525,26.89172656,56.2637,35.5981,4.3478,1.2926,0.081247955,3.240337678,0.13275373,0.0188,0.010434973,0.0108,-1.020623626,0.1248,0.5404,64.40191423,0.020433655,9.050336818,0.097667599,6379.8611,0.0592,1.2049,38.71868151,206.7670906,-10.0503,13.2165,14.39105296,7.128995658,-547.9559706,-60.33586442,1.637979391,标准无保留意见,100,地方国资委,0,0,0,207305.18,成都市,6,129.3041778,1500.441297,2640.58,6125.809936,19.86191297,26.63586543
012282920.IB,四川省紫坪铺开发有限责任公司,0,2022/8/23,0,地方国有企业,0,电力,745.0917601,56.2266,18.0133,6.286,5.3802,97.48141875,3.2742,63.74606914,97.2111,115.52,62.64,347.1577358,51.2136,39.67487255,5.5924,37.3932,0.292,0.2715,0.175580063,81.02609815,4.66907466,0.2095,0.239786534,0.2588,18.96751824,2.5656,0,60.40419492,0.244020027,4.813652148,0.247999178,76.9167,19.0694,6.2028,2.01577372,435.6745322,-17.2423,-3.4258,6.643175112,-20.84087801,-158.3879238,-28.28260325,0.752495471,标准无保留意见,42.5,地方国资委,0,0,9.65,0,成都市,22,19.46425109,250,1169.48,200,4.1,3.2602
012282948.IB,重庆两江新区开发投资集团有限公司,0,2022/8/23,0,地方国有企业,0,建筑与工程,10694.89367,20.8197,18.2988,1.4897,1.1658,99.52510342,1.013,26.29938323,42.9222,85.83,2.5,13.59999124,42.3091,24.79638874,49.7544,55.3776,2.1236,0.2383,0.156912721,1.674452348,0.531036473,0.028,0.004701376,0.0052,-9.885354873,5.522,0.7172,43.53447349,0.049494594,5.758205869,0.339654456,4429.3767,0.0816,20.4406,0.830804565,214.6038309,-31.9048,-19.4208,6.706362065,4.16512129,34.13842865,18.47591871,1.283748632,标准无保留意见,99.95999908,地方国资委,0,0,843.843,0,重庆市,100.042,568.2824786,4946.2,23686.77767,17165.01444,234.0640191,110.0952287
012282946.IB,广州高新区投资集团有限公司,0,2022/8/23,0,地方国有企业,0,综合支持服务,3187.995058,21.7127,19.654,4.1919,2.6217,60.38303482,1.1999,45.3184327,-52.3281,201.06,-5.25,-26.69567154,63.8871,56.57262973,17.7686,32.6269,0.8524,0.8333,0.496401458,-2.811467216,-0.277613324,0.0356,-0.005713521,-0.0072,-20.57859805,2.7694,0,58.83603489,0.049328718,3.117668172,1.034575303,151.4209,4.1338,5.5958,2.711295968,79.91143729,-50.7561,121.0079,47.34391984,76.61546895,377.2166003,208.1769501,0.570734945,标准无保留意见,90,地方国资委,0,0,133.13,17825.21,广州市,47.977148,292.8820102,5206.215218,13509.60944,9672.75259,206.4966852,7.457931302
012282952.IB,陕西金融资产管理股份有限公司,0,2022/8/23,0,地方国有企业,0,特殊金融服务,548.3645766,99.7484,323.3314,20.226,7.9526,99.92037371,3.2129,472.9540036,-37.325,387.98,-321.08,-129.8799115,70.6986,76.40702347,19.347,18.2383,1.5004,1.5004,1.021380071,-38.08754084,-1.485214504,0.1049,-0.059363972,-0.0631,-19.37331544,2.8008,8.9581,81.15734255,0.106972706,2.823093526,0.37867781,13.1315,0,27.4149,15.51867096,20.86004585,85.0697,-21.0754,32.33917616,18.41991294,-315.9399987,-50.08464612,0.630553758,标准无保留意见,17.73999977,地方国资委,0,0,0,988000,西安市,60.178054,296.5939567,911.0999601,15868.10487,8676.549866,60.10390287,37.11670326
012282956.IB,中国建筑第六工程局有限公司,0,2022/8/23,0,中央国有企业,0,建筑与工程,49672.64545,8.2481,0.5029,0.0998,1.4526,95.06176725,0.0282,2.243033028,116.9088,106.84,0.81,5309.350871,79.3051,46.4427554,76.0403,86.5066,1.1084,0.9351,0.137079035,4.74557624,0.775760273,0.0234,0.027906407,0.0449,-8.641635689,1.7675,1.439,13.01639455,0.077261473,2.27043413,0.642920699,190.0852,2.842,5.677,2.030851461,1153.887382,-15.076,16.9341,-4.346921523,0.966372816,259.6866412,11.77269528,1.135216901,标准无保留意见,100,国资委,0,0,605.904077,0,天津市,42.77946464,144.2082054,7623.068764,5937.168888,0,250.8524305,8.386087567
012282949.IB,杭州萧山国际机场有限公司,0,2022/8/23,0,地方国有企业,0,机场服务,2490.237509,1.8785,-7.4196,-1.3935,-0.5463,99.59137483,-0.773,15.68316232,0,116.96,44.7,-619.2560635,58.2471,41.01716522,9.5442,50.2068,0.3264,0.3262,0.102899263,82.11753676,12.06829719,0.0216,0.107937615,0.114,-24.05870535,-4.5153,0,49.51988931,0.037872297,11.57350123,0.402402511,50.5458,2160.6826,7.1458,0.628410786,729.8352979,-80.0932,3.1551,0.431783817,51.78148062,9744.740969,124.7516682,0.377521819,标准无保留意见,44.52600098,地方国资委,0,0,260.73,800,杭州市,56.86,103.1223408,0,8450,489.95,60.25,13.55469239
112285768.IB,江苏紫金农村商业银行股份有限公司,0,2022/8/23,0,地方国有企业,1,区域性银行,4502.101,0,33.6555,9.8344,0,99.91551201,0,0,76.6695,0,-513.89,-1526.920731,92.2584,0,0,0,0,0,0,0,0,0,-0.125375344,0,-1.867837172,0,0,9.78308582,0,0,0,0,0,0,0,27.80432813,13.7905,0.5663,7.992494144,-6.005662983,-358.0182204,0,0,标准无保留意见,8.960000038,0,0,0,0,0,南京市,36.60975366,1845.33604,0,0,18653.1,0,0
137633.SH,湖南湘江新区发展集团有限公司,0,2022/8/22,0,地方国有企业,0,建筑与工程,10001.62382,14.6334,8.4927,2.5888,1.3816,100.615055,1.1645,13.99821649,48.6113,137.37,15,186.8852763,62.2856,51.63688291,72.1986,37.7134,3.0736,0.6965,0.419048374,20.05729018,3.993208314,0.0234,0.045803323,0.0612,-1.297844304,4.0067,0.7965,60.18561,0.042745222,4.427029862,1.104247345,2328.4979,0.1597,4.8471,2.785413904,142.0665233,11.1657,61.6446,28.36779557,1.102644056,256.5963821,39.87053322,1.13643157,标准无保留意见,90,地方国资委,0,0,571.06,3825,长沙市,360,327.5334386,903.6153335,12989.73855,12746.93465,135.3709641,61.13055325
148024.SZ,四川省能源投资集团有限责任公司,0,2022/8/22,0,地方国有企业,0,电力,74206.99169,6.4721,2.8123,1.4503,3.197,107.9360386,0.3152,10.94528984,-44.7436,103.84,4.28,590.6324289,69.0802,68.32875853,31.1126,38.0608,1.1833,1.0866,0.455818925,10.13553583,0.73908381,0.059,0.02913739,0.0365,-6.405918612,1.9886,8.877,60.2572168,0.074478805,2.624953548,0.700039893,68.2765,10.1743,10.9445,9.47482906,357.4639856,58.8482,22.5299,15.35875749,7.794148795,-145.366658,-5.621301089,0.860252646,标准无保留意见,100,地方国资委,0,0,900,2432300,成都市,98.89,1090.534458,13198.57001,63616.50438,16009.85858,475.7231846,161.0541004
148029.SZ,国信证券股份有限公司,0,2022/8/22,0,地方国有企业,1,投资银行业与经纪业,23818.037,0,42.4764,11.3766,0,97.3041976,0,0,7.2964,0,-28.19,-66.39197203,73.2469,0,0,0,1.96,1.96,0,-2981.039566,0,0,-0.081868805,0,-2.377096693,0,0,19.21905952,0,0,98.68338004,0,0,0,0,29.51497662,42.406,26.7991,19.77901835,19.62892298,-54.44724937,2.753449854,0,标准无保留意见,33.52999878,地方国资委,0,0,2350,0,深圳市,96.12429377,820.2621077,225.27,0,51002.48749,60.71868756,0
2280368.IB,如东县开泰城建投资有限公司,0,2022/8/22,1,地方国有企业,0,林木产品,1829.915253,10.6121,13.0532,1.1845,0.661,100.2915726,0.6642,18.34450105,36.1126,59.87,-289.99,-2328.190728,49.1989,30.89959936,73.9585,62.3518,2.4109,0.6651,0.295472704,-123.0361058,-127.0561469,0.0138,-0.576519131,-1.0993,-2.425023523,9.2099,0.4279,29.9988375,0.036470493,9.620330929,1.014906875,5189.3758,0.0701,6.6846,8.979249038,69.75684628,38.3003,-33.8602,13.6838563,-6.103852846,-116.5602922,-22.63985497,1.250383563,标准无保留意见,100,地方国有企业,0,0,17.4141,929881.34,南通市,10,92.04394948,596.45,5379.17,1005.255401,22.2465,22.23519546
182406.SH,仪征经济开发集团有限公司,0,2022/8/22,1,地方国有企业,0,建筑与工程,796.1611544,20.7055,10.0174,1.7188,2.1504,101.5676959,0.8716,36.57781761,-26.9029,99.37,-78.61,-763.8534569,56.0531,39.85197171,62.4358,48.2823,2.307,1.7508,0.301183945,-24.05481284,-5.150402388,0.0473,-0.136893631,-0.1702,-37.07404511,2.1241,0.8196,51.71771496,0.063694698,2.837534993,0.344229964,1049.2959,0.4563,1.3828,83.11815,335.1434585,11.6036,23.5066,1.716634574,35.68149234,-282.7514423,-15.54333459,1.172448463,标准无保留意见,51,地方政府,0,0,8.1705,292897,仪征市,18.49645,45.72097594,578.45,1662.75,1097.591946,26.6729904,12.33305648
182451.SH,武汉光谷产业投资有限公司,0,2022/8/22,1,地方国有企业,0,综合支持服务,52.6422,16.1612,1637.7663,7.019,7.7853,99.99934671,4.0975,0,-24.8462,103.62,-6161.1,-411.884184,32.453,32.09507124,28.8802,17.8091,4.9969,4.9955,4.080592288,-480.780515,-11.89639037,0,-0.599123693,-0.7286,-54.47494884,5.6357,1.1547,71.2003953,0,0,1.42582014,261.4069,32.6548,1.4378,0.940918883,7.052171496,132.0749,-4.1901,5.764938002,54.08946047,0,81.11307859,1.875010019,标准无保留意见,0,0,0,0,0.1,0,武汉市,100,54.134676,28,4722.1,0,45.84,6.465982
185972.SH,国能融资租赁有限公司,0,2022/8/22,0,中央国有企业,0,消费信贷,927.72,0,19.1342,5.229,1.0369,100,0.9162,0,84.0676,970.24,-109.31,-571.3034852,86.0767,69.0898244,14.3671,63.8448,0.2614,0.2614,0.005683989,-8.792100873,0,0,-0.063632238,-0.0639,-4.915035038,0,0,29.49656606,0,0,0.006687444,0,0,0,0,1243.403879,23.3127,0,2.595464619,22.97617448,0,7.006879656,0,标准无保留意见,51,国资委,0,0,212.797875,0,天津市,30,159.37379,7784.2954,6269.8084,0,224.554449,18.832754
182386.SH,湖州吴兴产业投资发展集团有限公司,0,2022/8/22,0,地方国有企业,0,建筑与工程,2669.776146,11.9126,4.0134,0.8347,0.8299,97.72800617,0.3386,10.94802221,69.9721,67.32,-68.68,-1749.145327,61.9291,44.82370614,86.513,51.4331,2.7161,1.576,0.430510595,-19.50891547,-1.933260646,0.0123,-0.112048746,-0.1646,-31.88532693,0.357,0.5502,46.82047486,0.017862053,2.290820846,0.556103161,2661.5415,0.1808,0.537,5.302097951,119.4581871,-21.5694,28.535,29.89513807,28.48103711,100.5619619,137.4705809,1.147228345,标准无保留意见,100,地方政府,0,0,34.33,184350,湖州市,30,163.6361098,3045.997335,4789.808622,3985.259972,80.27378578,45.42545049
032280737.IB,株洲市城市建设发展集团有限公司,0,2022/8/22,0,地方国有企业,0,综合类行业,6991.982755,13.8388,7.1424,0.8982,0.6561,100.5603933,0.3524,24.07782917,-102.8862,97.28,25.7,496.8232415,63.6919,59.38008788,69.5239,30.7686,3.5477,0.9844,0.22898645,11.11015473,5.394865788,0.0201,0.032784688,0.0367,-4.288225397,2.7114,0.8832,67.60116462,0.030715795,5.347956667,0.358825539,3888.7928,0.0975,1.8322,1.930990333,97.75581628,8.4375,17.3464,-2.593905861,5.436824107,-36.03920501,-32.27438455,1.055201234,标准无保留意见,90,地方国资委,0,0,390.83,100000,株洲市,40,548.0950969,1244.397238,16357.00048,22310.54449,149.5244215,148.7300865
102281857.IB,淮安市交通控股集团有限公司,0,2022/8/22,1,地方国有企业,0,综合类行业,2968.852011,9.2187,2.3581,0.2428,0.291,117.7849026,0.1131,13.24878883,-265.731,104.22,4.33,239.7760918,57.6637,45.97801671,44.1552,38.4304,1.9925,1.2252,0.396049892,1.990181513,1.712034509,0.0128,0.00518804,0.0064,-2.378774385,4.2503,1.6142,61.35543047,0.015880085,10.86067337,0.716297394,1605.8243,0.325,0.7227,1.526649847,58.95370574,25.1526,18.6631,2.014121012,1.966200992,-192.6834471,-21.05902375,0.809776521,标准无保留意见,100,地方政府,0,0,61.740405,500008,淮安市,143.452197,247.6919551,2957.12362,6459.0144,11930.90404,91.95753702,34.22153455
102281864.IB,河南投资集团有限公司,0,2022/8/22,0,地方国有企业,0,综合类行业,36206.5418,9.3132,7.7523,4.3399,2.7543,100.5690708,0.9151,23.17252035,-98.743,107.06,7.91,135.2191885,62.2984,58.13421239,34.4165,43.1874,1.2792,1.2173,0.770637797,12.09724712,0.948551498,0.0585,0.021588525,0.0276,-27.06758958,2.2233,4.7119,55.09702488,0.072013502,3.499846205,1.172460191,104.1984,7.1996,6.6426,3.73223889,130.9526341,3.1525,20.3559,116.8228057,18.92953836,-22.64220708,24.96245939,0.719003347,标准无保留意见,100,地方政府,0,0,1528.31,138517.71,郑州市,120,1326.146199,7323.326042,63063.54008,21140.70052,406.292997,138.4272897
012282907.IB,山东省金融资产管理股份有限公司,0,2022/8/22,0,地方国有企业,0,其他多元金融服务,1835.592646,98.8746,56.4213,2.1159,2.463,99.98061924,1.0726,177.1668874,-126.4496,0,935.79,1689.919217,59.5188,41.14527254,56.8559,52.5713,1.8171,1.8171,1.560057877,52.32659228,7.286556308,0.0458,0.369490391,0.4093,23.74825655,1.3674,1.1042,47.41598701,0.069953012,1.379512351,0.137752158,0,0,0,0,17.02753988,-8.9089,-34.8678,1.307741441,-24.8637805,-322.4269742,-70.83814673,0.833602952,标准无保留意见,82.27999878,地方政府,0,0,401.03,0,济南市,366.3910833,464.8924013,580.6642192,8653.1,5000,44.795,322.4648308
102281850.IB,南京溧水产业投资控股集团有限公司,0,2022/8/22,0,地方国有企业,0,综合类行业,1607.532729,19.489,13.295,1.3095,0.7827,101.0001077,0.5702,23.151037,32.2705,75.48,-178.8,-1344.300953,58.6741,52.00408278,65.8658,24.0011,4.6772,0.705,0.358619777,-68.45993445,-412.6070345,0.0156,-0.13878179,-0.154,-13.36261388,52.8363,0.8611,74.2007915,0.017969904,63.0081766,0.488495857,5848.8942,0.0627,3.3561,37.24799175,86.05928532,-13.8679,22.9061,4.854100433,2.901898059,-385.8618058,-60.65438046,1.177034363,标准无保留意见,100,地方国资委,0,0,128.93,1182837,南京市,20,207.1021056,983.1568624,11361.8424,6320,79.64050762,20.452113
102281855.IB,徐州高新技术产业开发区国有资产经营有限公司,0,2022/8/22,0,地方国有企业,0,建筑与工程,909.3463003,20.943,20.5199,1.2622,0.8799,104.9374451,0.695,34.43628785,11.2497,49.56,12.55,61.09121126,55.196,41.99201897,75.6316,41.7695,3.2805,1.3643,0.466206244,3.804823904,2.424091514,0.0173,0.009384651,0.0132,-9.719138245,14.1975,0.6113,58.04222391,0.025748218,17.14669794,1.177213884,7727.0702,0.0539,0.3435,4.048590701,42.1618279,37.5992,17.1257,-2.855625995,63.98017353,437.3953798,112.4388394,1.238456246,标准无保留意见,100,地方政府,0,0,40.26,337000,徐州市,2.85,121.6181684,160.5758119,3432.240209,5729.847601,45.81314526,28.39153214
012282913.IB,南京紫金投资集团有限责任公司,0,2022/8/22,0,地方国有企业,0,多领域控股,1691.806575,64.044,235.7227,8.9477,4.9545,100.4400275,2.7297,90.29048509,18.6804,156.63,-14.82,-9.335162338,52.5029,43.17578073,43.1269,57.2054,1.4359,1.3696,0.98341845,-7.001403503,-0.589412769,0.091,-0.005456446,-0.0083,-14.64691565,12.7927,1.7161,40.67685519,0.11481575,13.37322049,4.394824563,1359.2805,0.2748,7.3116,1.810700328,9.551487917,11.5692,-1.3968,19.22286222,18.58455728,-82.10321438,2.794579089,1.082830147,标准无保留意见,100,地方国资委,0,0,136.227087,0,南京市,50,459.4642414,1362.33919,751.264962,20636.49362,60.20828,22.18430946
012282918.IB,湖北港口集团有限公司,0,2022/8/22,0,地方国有企业,0,海运,12972.30374,1.8025,0.6898,0.3605,1.3527,92.11807982,0.1079,8.984914081,-429.4059,92.96,-3.65,-1195.14527,69.8652,61.93561741,43.1211,40.7041,1.5163,0.9653,0.419228736,-7.649527157,-1.24283585,0.0336,-0.021753194,-0.029,-8.639375106,1.7797,2.8214,53.1215599,0.053523038,3.537403949,0.880021764,308.5667,1.4298,6.3399,8.848249669,257.6832744,20.2005,43.2317,17.59951061,34.08488206,-139.5182396,6.56224962,0.741397112,标准无保留意见,82.86000061,地方国资委,0,0,330.158353,0,武汉市,70,217.7661042,4440.641417,8706.948415,7045.669192,94.3035001,15.65399776
102281867.IB,宿迁市交通产业集团有限公司,0,2022/8/22,0,地方国有企业,0,建筑与工程,1194.979087,-4.1709,10.1469,0.8367,0.8585,100.1278603,0.6208,23.64424836,-141.2392,88.7,15.91,156.8600381,34.2535,27.07508148,37.6297,29.3035,3.7489,2.6262,1.085379349,30.9449996,1.389645442,0.037,0.039109392,0.0586,2.298460136,3.8901,0.8776,69.67980071,0.058108265,5.733562341,2.632851268,1003.1419,0.4742,1.4756,4.129096096,77.20510356,5.3306,27.3769,0.840386873,-2.089039033,-137.4272206,0.591257087,1.633350586,标准无保留意见,100,地方国资委,0,0,12.57,333117,宿迁市,10,48.62368984,544.5234931,670,3577.845491,7.111275467,0.7
012282909.IB,福建省冶金(控股)有限责任公司,0,2022/8/22,0,地方国有企业,0,金属非金属,106045.9421,16.4318,7.4028,14.8993,10.6609,101.3205096,4.644,13.45688374,97.2146,93.37,5.42,153.0517619,54.3311,33.62744638,46.3634,77.6893,1.0984,0.808,0.387412074,19.19748424,4.972356568,0.2339,0.194174829,0.3363,-6.47506661,11.925,2.9181,18.48099787,0.481907523,13.41592841,0.417648288,68.1461,7.1348,20.3514,11.51577404,895.9424869,56.2378,32.4923,13.73341346,10.73301137,-132.6492698,-12.95500672,2.002251945,标准无保留意见,100,地方国资委,0,0,439.75,114188,福州市,80,296.1248465,16015.89561,6548.336096,3606.848707,383.1713311,33.64870527
102281846.IB,中建国际投资集团有限公司,0,2022/8/22,0,中央国有企业,0,建筑与工程,33590.55769,22.2169,11.4872,14.5368,5.4582,100.0301433,4.9958,21.55451876,92.7446,84.65,-10.74,-95.43075701,77.0536,59.20962156,54.8715,61.5181,1.1576,0.9039,0.182585472,-29.23455628,-2.005499349,0.0688,-0.081383407,-0.111,-6.843707559,4.1329,3.9697,38.4501019,0.163393797,4.220603556,0.957972624,363.7175,1.534,2.7899,1.30896087,316.9572059,37.2767,47.5716,15.73065954,8.176931943,-25.29316837,22.10321868,0.783175496,标准无保留意见,100,国资委,0,0,483.983,31800,深圳市,27.68,443.1185996,800.8525,32252.71042,3000,171.7203023,82.51684073
